C0000039	1,2-dipalmitoylphosphatidylcholine
C0302020	Isoimmunization
C0302021	Positive skin test reaction
C0302023	Absent skin test reaction
C0302024	Immediate skin test reaction
C0302025	Delayed skin test reaction
C0302028	Urticarial skin test reaction
C0302029	Skin test reaction conversion
C0302030	Erythrocyte life span
C0302031	Decreased erythrocyte life span
C0302032	Granulocyte life span
C0302033	Decreased granulocyte life span
C0302034	Platelet life span
C0302035	Decreased platelet life span
C0302036	Blood group substance
C0302043	Blood group antigen A,B
C0302044	Blood group A>1<B
C0302046	Blood group A>3<B
C0302050	Antigen in Rh blood group system
C0302052	Blood group antigen N
C0302053	Blood group antigen U
C0302054	Public blood group antigen
C0302055	Private blood group antigen
C0302056	Secretor gene present (Se)
C0302057	Secretor gene absent (se)
C0302058	Blood group antibody
C0302061	Blood group antibody P>1<
C0302066	Blood group antibody U
C0302067	Public blood group antibody
C0302068	Private blood group antibody
C0302071	Fibrinogen antibody
C0302072	Prothrombin antibody
C0302073	Tissue factor antibody
C0302074	Factor V antibody
C0302075	Factor VII antibody
C0302077	Factor IX antibody
C0302078	Factor X antibody
C0302079	Factor XI antibody
C0302080	Factor XII antibody
C0302081	Factor XIII antibody
C0302084	Increased erythrocyte production
C0302085	Decreased erythrocyte production
C0302086	Erythrocyte destruction
C0302087	Abnormal erythrocyte destruction
C0302088	Increased erythrocyte destruction
C0302089	Decreased erythrocyte destruction
C0302090	Granulocyte production
C0302091	Increased granulocyte production
C0302092	Decreased granulocyte production
C0302093	Granulocyte destruction
C0302094	Abnormal granulocyte destruction
C0302095	Increased granulocyte destruction
C0302096	Decreased granulocyte destruction
C0302097	Lymphocyte production
C0302098	Abnormal lymphocyte production
C0302099	Increased lymphocyte production
C0302100	Decreased lymphocyte production
C0302101	Lymphocyte destruction
C0302102	Abnormal lymphocyte destruction
C0302103	Increased lymphocyte destruction
C0302104	Decreased lymphocyte destruction
C0302105	Increased platelet production
C0302106	Platelet destruction
C0302107	Abnormal platelet destruction
C0302108	Decreased platelet destruction
C0302110	Hemolytic crisis
C0302111	Aplastic crisis
C0302112	Myelophthisis
C0302113	Fragility
C0302114	Increased osmotic fragility
C0302115	Decreased osmotic fragility
C0302116	Mechanical fragility
C0302117	Abnormal fibrinolysis
C0302119	Granulopoietin
C0302129	Rod monochromatism
C0302133	Mottling
C0302142	Deformity
C0302143	Casts
C0302144	Mucus retention
C0302146	Chylous cyst
C0302148	Blood clot
C0302149	Serous effusion
C0302160	Superficial folliculitis
C0302164	Tuberous xanthoma
C0302173	Hematopoietic maturation arrest
C0302176	Megaloblastic erythropoiesis
C0302177	Megakaryocytic maturation arrest
C0302180	Condyloma
C0302182	Trabecular adenocarcinoma
C0302187	Cryofibrinogen measurement
C0302197	Chlorate salt
C0302199	Fluorosilicate salt
C0302204	Chromate salt
C0302205	Dichromate salt
C0302206	Iron salt
C0302208	Thallium salt
C0302210	Gold salt
C0302211	Magnesium salt
C0302214	Trinitrophenylmethylnitramine
C0302217	Basal anesthetic
C0302218	Dibromosalicylanilide-containing product
C0302223	Lead oleate
C0302224	Zinc gelatin
C0302226	Biphenamine
C0302227	Persic oil
C0302228	Anhydrous lanolin
C0302236	Eastern coral snake antivenom
C0302237	Swine influenza virus vaccine
C0302239	Colloidal oatmeal powder with oil
C0302241	Thyroid iodine uptake
C0302242	Central myelin protein
C0302243	Peripheral myelin protein
C0302246	Hexadactyly
C0302247	Separation of nail fold
C0302254	Juvenile cataract
C0302255	Lentigo simplex
C0302267	Gastromyotomy
C0302269	Excision of bone
C0302272	Creatine measurement
C0302273	Glutamate dehydrogenase measurement
C0302274	Glutamine measurement
C0302275	Isocitrate dehydrogenase measurement
C0302278	Pyruvate measurement
C0302279	Thiocyanate measurement
C0302280	Adrenal virilism
C0302289	Scabicide
C0302295	Eruption
C0302299	Congenital non-rotation
C0302302	Closed comedone
C0302307	Mucopurulent discharge
C0302309	Cystic inflammation
C0302310	Familial annular erythema
C0302312	Axial cataract
C0302313	Osteolytic lesions
C0302314	Xanthomatous deposition
C0302319	Linear porokeratosis
C0302329	Diffuse malignant lymphoma - centroblastic
C0302333	Carbon and carbon compound
C0302334	Halogen and halogen compound
C0302338	Lung irritant
C0302339	Systemic poison
C0302349	Response to immunization AND/OR skin test
C0302350	Therapeutic
C0302353	Serum potassium measurement
C0302356	Hemianencephaly
C0302358	Infection due to Group A Shigella
C0302359	Infection due to Group B Shigella
C0302360	Infection due to Group C Shigella
C0302362	Infection due to Brucella melitensis
C0302363	Infection due to Brucella abortus
C0302368	Normocytic anemia following acute bleed
C0302369	Alcohol hallucinosis
C0302467	Congenital anomaly of aorta
C0302472	Acute and chronic cholecystitis
C0302486	Erythrophagocytosis
C0302488	Specialized medical examination
C0302491	Pathological fracture of vertebra
C0302497	Retrobulbar hemorrhage
C0302501	Mandibular hyperplasia
C0302511	Small for gestational age fetus
C0302540	Generalized abdominal tenderness
C0302544	Accident to powered aircraft
C0302554	Costochondrectomy
C0302559	Implantation of cochlear prosthetic device
C0302572	Radical total vulvectomy
C0302583	Iron
C0302592	Carcinoma of cervix
C0302609	Xanthine oxidase inhibitor-containing product
C0302610	Bone pencil
C0302613	Extracorporeal membrane oxygenator
C0302614	Guide
C0302617	Radiographic-therapeutic unit
C0302618	Endolymphatic shunt
C0302630	Anastomosis coupler
C0302642	Carbon-dioxide-sampling nasal oxygen cannula
C0302666	Mechanical laparoscopic distention system
C0302669	Durometer
C0302677	Enteroscope
C0302682	Eyelid weight, external
C0302687	Laser filter, optical
C0302733	Moist-heat pack
C0302738	Intravascular membrane oxygenator
C0302751	Total hip replacement prosthesis
C0302764	Wheelchair canopy
C0302776	Bone growth ultrasonic stimulator
C0302809	Fulminant hepatitis
C0302813	Lactase deficiency
C0302832	Obsessional neurosis
C0302835	Shamanism
C0302837	Vitamin supplementation
C0302840	Toxic thyroid adenoma
C0302844	MCV - low
C0302845	MCV - raised
C0302859	Euthyroid goiter
C0302885	Testicular dysgenesis
C0302889	Ectopic testis
C0302891	Native
C0302892	Congenital porencephaly
C0302894	Stucco keratosis
C0302898	Substance type unknown
C0302899	Substance type not applicable
C0302900	Substance not assigned code in SNOMED
C0302901	Substance type not sought
C0302902	No substance type identified
C0302903	Substance not assigned to a scientific category
C0302915	Arrhenius acid
C0302916	Bronsted-Lowry acid
C0302917	Lewis acid
C0302918	Stable isotope
C0302921	Strong acid
C0302926	Potassium hypochlorite
C0302928	Chloric acid
C0302929	Perchlorate salt
C0302932	Periodate salt
C0302933	Natural graphite
C0302935	Graphite dust
C0302936	Carbon trichloride
C0302938	Cyanate compound
C0302941	Methylene biphenyl isocyanate
C0302943	Thiocyanate compound
C0302944	Carbon-11
C0302945	Carbon-14
C0302946	Phosphorus and phosphorus compound
C0302954	Phosphorus-33
C0302959	Nitrogen-13
C0302960	Sublimed sulfur
C0302965	Sulfate salt
C0302967	Thiosulfuric acid
C0302971	Sulfur-35
C0302972	Sulfur-38
C0302974	Boron isotope
C0302978	Hydrated sodium borate
C0302979	Borate pentahydrate
C0302980	Silicon isotope
C0302982	Ethyl silicate
C0302983	Methyl silicate
C0302984	Boron radioisotope
C0302985	Silicon radioisotope
C0302986	Silicon-31
C0302987	Silicon-32
C0302990	Fluorine isotope
C0302991	Perchloryl fluoride
C0302992	Fluorine monoxide
C0302993	Fluorine perchlorate
C0302994	Carbonyl fluoride
C0302995	Fluorine-18
C0302996	Chlorine and chlorine compound
C0302997	Chlorine isotope
C0303001	Chlorine-36
C0303002	Chlorine-38
C0303003	Chlorine-39
C0303005	Bromine isotope
C0303006	Bromine trifluoride
C0303007	Bromine pentafluoride
C0303008	Bromine-75
C0303010	Bromine-77
C0303011	Bromine-80
C0303012	Bromine-80m
C0303013	Iodine and iodine compound
C0303014	Colloidal iodine
C0303015	Iodine pentafluoride
C0303016	Iodine pentoxide
C0303017	Iodine heptafluoride
C0303018	Iodine trichloride
C0303020	Iodine-120
C0303021	Iodine-121
C0303022	Iodine-122
C0303024	Iodine-124
C0303026	Iodine-126
C0303027	Iodine-129
C0303028	Iodine-130
C0303029	Iodine-131
C0303030	Iodine-132
C0303031	Iodine-133
C0303032	Iodine-135
C0303033	Arsenic isotope
C0303035	Organic arsenic
C0303036	Arsenic-71
C0303037	Arsenic-72
C0303038	Arsenic-73
C0303039	Arsenic-74
C0303040	Arsenic-76
C0303041	Arsenic-77
C0303042	Arsenic-78
C0303043	Selenium and selenium compound
C0303044	Selenium isotope
C0303045	Selenium hexafluoride
C0303046	Selenium-72
C0303047	Selenium-73
C0303048	Selenium-75
C0303049	Selenium-79
C0303050	Tellurium and tellurium compound
C0303051	Tellurium isotope
C0303052	Tellurium compound
C0303053	Hydrogen telluride
C0303054	Tellurium hexafluoride
C0303055	Tellurium radioisotope
C0303056	Tellurium-116
C0303057	Tellurium-117
C0303058	Tellurium-118
C0303059	Tellurium-119
C0303060	Tellurium-119m
C0303061	Tellurium-121
C0303062	Tellurium-121m
C0303063	Tellurium-123m
C0303064	Tellurium-125m
C0303065	Tellurium-127
C0303066	Tellurium-127m
C0303067	Tellurium-129
C0303068	Tellurium-129m
C0303069	Tellurium-131
C0303070	Tellurium-131m
C0303071	Tellurium-132
C0303073	Metal fumes
C0303078	Soft metal
C0303079	Actinium and actinium compound
C0303080	Actinium isotope
C0303081	Actinium compound
C0303082	Actinium radioisotope
C0303083	Actinium-224
C0303084	Actinium-225
C0303085	Actinium-226
C0303086	Actinium-227
C0303087	Actinium-228
C0303088	Actinium-229
C0303089	Aluminum isotope
C0303090	Aluminum welding fumes
C0303092	Bauxite fumes
C0303094	Aluminum alkyl
C0303095	Aluminum radioisotope
C0303096	Aluminum-26
C0303097	Antimony and antimony compound
C0303098	Antimony isotope
C0303099	Antimony compound
C0303100	Antimony radioisotope
C0303101	Antimony-115
C0303102	Antimony-116m
C0303103	Antimony-117
C0303104	Antimony-118
C0303105	Antimony-118m
C0303106	Antimony-119
C0303107	Antimony-120
C0303108	Antimony-122
C0303109	Antimony-124
C0303110	Antimony-125
C0303111	Antimony-126
C0303112	Antimony-127
C0303113	Antimony-128
C0303114	Antimony-129
C0303115	Barium and barium compound
C0303116	Barium isotope
C0303117	Barium dust
C0303118	Barium fluorosilicate
C0303119	Barium propionate
C0303122	Barium-126
C0303123	Barium-128
C0303124	Barium-129
C0303125	Barium-131
C0303126	Barium-133
C0303127	Barium-133m
C0303128	Barium-135m
C0303129	Barium-137m
C0303130	Beryllium isotope
C0303131	Beryllium compound
C0303132	Beryllium fumes
C0303133	Beryllium radioisotope
C0303134	Beryllium-7
C0303135	Beryllium-10
C0303136	Californium and californium compound
C0303137	Californium radioisotope
C0303138	Californium-240
C0303139	Californium-241
C0303140	Californium-242
C0303141	Californium-243
C0303142	Californium-244
C0303143	Californium-245
C0303144	Californium-246
C0303145	Californium-247
C0303146	Californium-248
C0303147	Californium-249
C0303148	Californium-250
C0303149	Californium-251
C0303150	Californium-252
C0303151	Californium-253
C0303152	Californium-254
C0303153	Bismuth and bismuth compound
C0303154	Bismuth isotope
C0303155	Bismuth-209
C0303156	Bismuth compound
C0303157	Bismuth telluride
C0303158	Bismuth radioisotope
C0303159	Bismuth-201
C0303160	Bismuth-201m
C0303161	Bismuth-202
C0303162	Bismuth-203
C0303163	Bismuth-204
C0303164	Bismuth-205
C0303165	Bismuth-206
C0303166	Bismuth-207
C0303167	Bismuth-208
C0303168	Bismuth-210
C0303169	Bismuth-210m
C0303170	Bismuth-211
C0303171	Cadmium isotope
C0303172	Cadmium dust
C0303173	Cadmium fumes
C0303175	Cadmium-107
C0303176	Cadmium-109
C0303177	Cadmium-113m
C0303178	Cadmium-115
C0303179	Cadmium-115m
C0303180	Cadmium-117
C0303181	Cadmium-117m
C0303182	Copper and copper compound
C0303183	Copper isotope
C0303184	Copper fumes
C0303186	Copper compound
C0303187	Basic cupric sulfate
C0303188	Dibasic copper sulfate
C0303189	Copper-61
C0303190	Copper-64
C0303191	Copper-67
C0303192	Germanium and germanium compound
C0303193	Germanium isotope
C0303194	Germanium compound
C0303195	Germanium tetrahydride
C0303196	Germanium radioisotope
C0303197	Germanium-66
C0303198	Germanium-68
C0303199	Germanium-69
C0303200	Germanium-71
C0303201	Germanium-73m
C0303202	Germanium-75
C0303203	Germanium-77
C0303204	Germanium-78
C0303205	Chromium and chromium compound
C0303206	Tertiary butyl chromate
C0303208	Chromic sulfate
C0303210	Chromous sulfate
C0303211	Chromium-48
C0303212	Chromium-51-containing product
C0303213	Iron and iron compound
C0303216	Siderite
C0303217	Iron silicate
C0303218	Iron-52
C0303219	Iron-55
C0303220	Iron-59
C0303221	Iron-60
C0303222	Gallium and gallium compound
C0303223	Gallium compound
C0303224	Gallium-66
C0303225	Gallium-67
C0303226	Gallium-68
C0303227	Gallium-72
C0303228	Gallium-73
C0303229	Lead and lead compound
C0303230	Lead isotope
C0303232	Lead carbonate
C0303233	Lead-198
C0303234	Lead-199
C0303235	Lead-200
C0303236	Lead-201
C0303237	Lead-201m
C0303238	Lead-202
C0303239	Lead-202m
C0303240	Lead-203
C0303241	Lead-204m
C0303242	Lead-205
C0303243	Lead-207m
C0303244	Lead-209
C0303245	Lead-210
C0303246	Lead-211
C0303247	Lead-212
C0303248	Lead-214
C0303249	Mercury and mercury compound
C0303250	Organoalkyl mercury
C0303251	Monomethyl mercury
C0303252	Mercuric oxycyanide
C0303253	Mercuric arsenate
C0303254	Mercurous compound
C0303255	Mercurous sulfate
C0303256	Mercury-191
C0303257	Mercury-192
C0303258	Mercury-193
C0303259	Mercury-193m
C0303260	Mercury-194
C0303261	Mercury-195
C0303262	Mercury-195m
C0303263	Mercury-197
C0303264	Mercury-203
C0303265	Nickel and nickel compound
C0303266	Nickel isotope
C0303269	Nickel-56
C0303270	Nickel-57
C0303271	Nickel-59
C0303272	Nickel-63
C0303273	Nickel-65
C0303274	Nickel-66
C0303275	Potassium and potassium compound
C0303276	Potassium-40
C0303277	Potassium-42
C0303278	Potassium-43
C0303280	Radium compound
C0303281	Radium-222
C0303282	Radium-223
C0303283	Radium-225
C0303284	Radium-226
C0303285	Radium-228
C0303286	Radon radioisotope
C0303287	Radon-210
C0303288	Radon-211
C0303289	Radon-218
C0303290	Radon-219
C0303291	Radon-220
C0303292	Radon-222
C0303293	Silver isotope
C0303294	Silver citrate
C0303295	Silver difluoride
C0303296	Silver fluoride
C0303297	Silver radioisotope
C0303298	Silver-103
C0303299	Silver-104
C0303300	Silver-105
C0303301	Silver-106m
C0303302	Silver-107m
C0303303	Silver-108m
C0303304	Silver-109m
C0303305	Silver-110m
C0303306	Silver-110
C0303307	Silver-111
C0303308	Silver-111m
C0303309	Silver-112
C0303310	Silver-113
C0303311	Thallium and thallium compound
C0303312	Thallium isotope
C0303313	Thallium compound
C0303314	Thallium-195
C0303315	Thallium-196m
C0303316	Thallium-196
C0303317	Thallium-197
C0303318	Thallium-198
C0303319	Thallium-198m
C0303320	Thallium-199
C0303321	Thallium-200
C0303322	Thallium-201
C0303323	Thallium-202
C0303324	Thallium-204
C0303325	Thallium-206
C0303326	Thallium-207
C0303327	Thallium-208
C0303328	Thallium-209
C0303329	Thallium-210
C0303330	Tin and tin compound
C0303331	Tin isotope
C0303334	Tin-110
C0303335	Tin-113
C0303336	Tin-117m
C0303337	Tin-119m
C0303338	Tin-121m
C0303339	Tin-121
C0303340	Tin-123
C0303341	Tin-125
C0303342	Tin-127
C0303343	Uranium and uranium compound
C0303344	Uranium isotope
C0303345	Uraninite
C0303346	Uranium-230
C0303347	Uranium-231
C0303348	Uranium-232
C0303349	Uranium-233
C0303350	Uranium-234
C0303351	Uranium-235
C0303352	Uranium-235m
C0303353	Uranium-236
C0303354	Uranium-237
C0303355	Uranium-238
C0303356	Uranium-239
C0303357	Uranium-240
C0303358	Zinc and zinc compound
C0303360	Zinc oxide fumes
C0303361	Zinc-62
C0303362	Zinc-65
C0303363	Zinc-69m
C0303364	Zinc-69
C0303365	Zinc-72
C0303366	Cesium and cesium compound
C0303367	Cesium compound
C0303368	Cesium hydroxide
C0303369	Cesium-126
C0303370	Cesium-127
C0303371	Cesium-128
C0303372	Cesium-129
C0303373	Cesium-131
C0303374	Cesium-132
C0303375	Cesium-134
C0303376	Cesium-134m
C0303377	Cesium-135
C0303378	Cesium-136
C0303379	Cesium-137
C0303380	Calcium and calcium compound
C0303382	Calcium-41
C0303383	Calcium-45
C0303384	Calcium-47
C0303385	Cobalt fumes
C0303386	Cobalt dust
C0303387	Cobalt compound
C0303388	Cobalt carbonyl
C0303389	Cobalt hydrocarbonyl
C0303390	Cobalt-55
C0303391	Cobalt-56
C0303392	Cobalt-57
C0303393	Cobalt-58
C0303394	Cobalt-58m
C0303395	Cobalt-60
C0303396	Cobalt-61
C0303397	Indium and indium compound
C0303398	Indium isotope
C0303400	Indium-109
C0303401	Indium-110
C0303402	Indium-110m
C0303403	Indium-111
C0303404	Indium-113m
C0303405	Indium-114
C0303406	Indium-114m
C0303407	Indium-115
C0303408	Indium-115m
C0303409	Indium-117
C0303410	Indium-117m
C0303411	Gold and gold compound
C0303412	Gold-191
C0303413	Gold-192
C0303414	Gold-193
C0303415	Gold-194
C0303416	Gold-195
C0303417	Gold-196m2
C0303418	Gold-196
C0303419	Gold-197
C0303420	Gold-198
C0303421	Gold-199
C0303422	Hafnium and hafnium compound
C0303423	Hafnium isotope
C0303424	Hafnium dust
C0303426	Hafnium radioisotope
C0303427	Hafnium-169
C0303428	Hafnium-170
C0303429	Hafnium-171
C0303430	Hafnium-172
C0303431	Hafnium-173
C0303432	Hafnium-174
C0303433	Hafnium-175
C0303434	Hafnium-180m
C0303435	Hafnium-181
C0303436	Hafnium-182
C0303437	Magnesium and magnesium compound
C0303438	Magnesium isotope
C0303439	Magnesium dust
C0303440	Magnesium fumes
C0303444	Magnesium-28
C0303445	Manganese and manganese compound
C0303446	Manganese isotope
C0303447	Manganese trioxide
C0303448	Manganese-52
C0303449	Manganese-53
C0303450	Manganese-54
C0303451	Manganese-56
C0303452	Molybdenum and molybdenum compound
C0303453	Molybdenum isotope
C0303454	Molybdenum compound
C0303455	Molybdenum-90
C0303456	Molybdenum-93m
C0303457	Molybdenum-93
C0303458	Molybdenum-99
C0303460	Iridium isotope
C0303462	Iridium-183
C0303463	Iridium-184
C0303464	Iridium-185
C0303465	Iridium-186
C0303466	Iridium-187
C0303467	Iridium-188
C0303468	Iridium-189
C0303469	Iridium-190
C0303470	Iridium-190m1
C0303471	Iridium-190m2
C0303472	Iridium-192
C0303473	Iridium-193m
C0303474	Iridium-194
C0303475	Iridium-195
C0303476	Iridium-196m
C0303477	Osmium isotope
C0303478	Osmium radioisotope
C0303479	Osmium-182
C0303480	Osmium-183
C0303481	Osmium-183m
C0303482	Osmium-185
C0303483	Osmium-189m
C0303484	Osmium-190m
C0303485	Osmium-191m
C0303486	Osmium-191
C0303487	Osmium-193
C0303488	Osmium-194
C0303489	Platinum and platinum compound
C0303490	Platinum isotope
C0303491	Platinum salts
C0303492	Platinum radioisotope
C0303493	Platinum-186
C0303494	Platinum-187
C0303495	Platinum-188
C0303496	Platinum-189
C0303497	Platinum-190
C0303498	Platinum-191
C0303499	Platinum-192
C0303500	Platinum-193m
C0303501	Platinum-193
C0303502	Platinum-195m
C0303503	Platinum-197m
C0303504	Platinum-197
C0303505	Platinum-200
C0303506	Lithium and lithium compound
C0303507	Lithium isotope
C0303508	Lithium hydride
C0303509	Sodium and sodium compound
C0303512	Sodium-24
C0303514	Tantalum isotope
C0303516	Tantalum-173
C0303517	Tantalum-174
C0303518	Tantalum-175
C0303519	Tantalum-176
C0303520	Tantalum-177
C0303521	Tantalum-178
C0303522	Tantalum-179
C0303523	Tantalum-180m
C0303524	Tantalum-182
C0303525	Tantalum-183
C0303526	Tantalum-184
C0303527	Thorium and thorium compound
C0303528	Thorium isotope
C0303529	Thorium-226
C0303530	Thorium-227
C0303531	Thorium-228
C0303532	Thorium-229
C0303533	Thorium-230
C0303534	Thorium-231
C0303535	Thorium-232
C0303536	Thorium-234
C0303537	Strontium and strontium compound
C0303539	Strontium compound
C0303540	Strontium bromide
C0303541	Strontium iodide
C0303542	Strontium-82
C0303543	Strontium-83
C0303544	Strontium-85
C0303545	Strontium-85m
C0303546	Strontium-87m
C0303547	Strontium-90
C0303548	Strontium-91
C0303549	Strontium-92
C0303551	Rubidium isotope
C0303552	Rubidium compound
C0303553	Rubidium-81
C0303554	Rubidium-82
C0303555	Rubidium-82m
C0303556	Rubidium-83
C0303557	Rubidium-84
C0303558	Rubidium-86
C0303559	Rubidium-87
C0303560	Rubidium-88
C0303562	Palladium isotope
C0303564	Palladium-100
C0303565	Palladium-101
C0303566	Palladium-103
C0303567	Palladium-107
C0303568	Palladium-109
C0303569	Palladium-111m
C0303570	Palladium-111
C0303573	Plutonium-232
C0303574	Plutonium-233
C0303575	Plutonium-234
C0303576	Plutonium-235
C0303577	Plutonium-236
C0303578	Plutonium-237
C0303579	Plutonium-238
C0303580	Plutonium-239
C0303581	Plutonium-240
C0303582	Plutonium-241
C0303583	Plutonium-242
C0303584	Plutonium-243
C0303585	Plutonium-244
C0303586	Plutonium-245
C0303587	Plutonium-246
C0303588	Yttrium and yttrium compound
C0303589	Yttrium compound
C0303590	Yttrium-85m
C0303591	Yttrium-85
C0303592	Yttrium-86
C0303593	Yttrium-87m
C0303594	Yttrium-87
C0303595	Yttrium-88
C0303596	Yttrium-90
C0303597	Yttrium-91
C0303598	Yttrium-91m
C0303599	Yttrium-92
C0303600	Yttrium-93
C0303601	Technetium and technetium compound
C0303602	Technetium isotope
C0303603	Technetium radioisotope
C0303604	Technetium-93
C0303605	Technetium-95
C0303606	Technetium-95m
C0303607	Technetium-96
C0303608	Technetium-97m
C0303609	Technetium-97
C0303610	Technetium-98
C0303611	Technetium-99m-containing product
C0303612	Technetium-99
C0303613	Tungsten isotope
C0303614	Tungsten-176
C0303615	Tungsten-177
C0303616	Tungsten-178
C0303617	Tungsten-181
C0303618	Tungsten-185
C0303619	Tungsten-187
C0303620	Tungsten-188
C0303621	Vanadium and vanadium compound
C0303622	Vanadium isotope
C0303623	Vanadium pentoxide dust
C0303624	Vanadium pentoxide fumes
C0303625	Ferrovanadium dust
C0303626	Vanadium radioisotope
C0303627	Vanadium-48
C0303628	Vanadium-49
C0303629	Titanium and titanium compound
C0303630	Titanium isotope
C0303631	Titanium compound
C0303632	Titanium sulfate
C0303633	Titanium radioisotope
C0303634	Titanium-44
C0303635	Titanium-45
C0303636	Rhodium and rhodium compound
C0303637	Rhodium isotope
C0303638	Rhodium dust
C0303639	Rhodium fumes
C0303640	Rhodium compound
C0303642	Rhodium radioisotope
C0303643	Rhodium-99
C0303644	Rhodium-99m
C0303645	Rhodium-100
C0303646	Rhodium-101
C0303647	Rhodium-101m
C0303648	Rhodium-102
C0303649	Rhodium-102m
C0303650	Rhodium-103m
C0303651	Rhodium-105m
C0303652	Rhodium-105
C0303653	Rhodium-106m
C0303654	Rhodium-106
C0303656	Zirconium isotope
C0303657	Zirconium compound
C0303658	Zirconium-86
C0303659	Zirconium-87
C0303660	Zirconium-88
C0303661	Zirconium-89
C0303662	Zirconium-90m
C0303663	Zirconium-93
C0303664	Zirconium-95
C0303665	Zirconium-97
C0303666	Helium isotope
C0303667	Helium-3
C0303669	Helium-5
C0303670	Helium-6
C0303671	Helium-8
C0303673	Xenon-122
C0303674	Xenon-123
C0303675	Xenon-125
C0303676	Xenon-127m
C0303677	Xenon-127
C0303678	Xenon-129m
C0303679	Xenon-131m
C0303681	Xenon-133m
C0303682	Xenon-135
C0303683	Xenon-135m
C0303684	Krypton isotope
C0303685	Krypton-76
C0303686	Krypton-77
C0303687	Krypton-79
C0303688	Krypton-81
C0303689	Krypton-81m
C0303690	Krypton-83m
C0303691	Krypton-85
C0303692	Krypton-85m
C0303693	Krypton-87
C0303694	Krypton-88
C0303695	Argon isotope
C0303696	Argon radioisotope
C0303697	Argon-37
C0303698	Argon-41
C0303699	Argon-42
C0303700	Neon isotope
C0303701	Neon-20
C0303702	Neon-21
C0303703	Neon-22
C0303704	Gadolinium and gadolinium compound
C0303705	Gadolinium isotope
C0303706	Gadolinium radioisotope
C0303707	Gadolinium-146
C0303708	Gadolinium-147
C0303709	Gadolinium-148
C0303710	Gadolinium-149
C0303711	Gadolinium-150
C0303712	Gadolinium-151
C0303713	Gadolinium-152
C0303714	Gadolinium-153
C0303715	Gadolinium-159
C0303716	Americium and americium compound
C0303717	Americium radioisotope
C0303718	Americium-237
C0303719	Americium-238
C0303720	Americium-239
C0303721	Americium-240
C0303722	Americium-241
C0303723	Americium-242
C0303724	Americium-242m
C0303725	Americium-243
C0303726	Americium-244m
C0303728	Ruthenium isotope
C0303729	Ruthenium-95
C0303730	Ruthenium-97
C0303731	Ruthenium-103
C0303732	Ruthenium-105
C0303733	Ruthenium-106
C0303734	Ytterbium and ytterbium compound
C0303735	Ytterbium isotope
C0303736	Ytterbium radioisotope
C0303737	Ytterbium-164
C0303738	Ytterbium-166
C0303739	Ytterbium-169
C0303740	Ytterbium-175
C0303741	Ytterbium-177
C0303746	Inorganic dust
C0303747	Organic dust
C0303749	Bleach
C0303751	Mineral dust
C0303752	Slate
C0303753	Flint
C0303755	Hard coal
C0303756	Soft coal
C0303757	Coal tar pitch volatiles
C0303758	Tetrachloronaphthalene
C0303759	Coal tar creosote
C0303760	Coal tar extract
C0303761	Wood preservative
C0303762	Petroleum distillate
C0303763	Liquefied petroleum gas
C0303764	Coal tar naphtha
C0303766	Tetramethyl succinonitrile
C0303768	Barrier grease
C0303769	Sec-hexyl acetate
C0303770	Propylene imide
C0303771	Vinyl cyclohexene dioxide
C0303773	Trimethyl benzene
C0303774	Vinyl toluene
C0303775	Nitrotoluene
C0303776	p-tert-butyltoluene
C0303777	Chlorotoluene
C0303778	Xylidine
C0303779	Dimethylaminobenzene
C0303780	Methylcyclohexanone
C0303781	Cyclopentadiene
C0303782	Hexachloronaphthalene
C0303783	Dichlorophenarsine hydrochloride
C0303784	Dimethyl-1,1-dibromo-2-2-dichloroethyl phosphate
C0303786	Dichlorotetrafluoromethane
C0303788	Trichloropropane
C0303789	1,1,1,2-tetrachloro-2,2- difluoroethane
C0303790	1,1,2,2-tetrachloro-1,2- difluoroethane
C0303791	Pentachloronaphthalene
C0303792	Octachloronaphthalene
C0303793	Tetrachlorodibenzofuran
C0303794	1,1,-dichloropropane
C0303795	o-Chlorobenzylidenemalononitrile
C0303797	Trichloronaphthalene
C0303798	Trifluoromonobromomethane
C0303799	Methylchlormethyl ether
C0303800	Acetylene tetrabromite
C0303802	Methylcyclohexanol
C0303805	2-N-dibutylamino-ethanol
C0303806	2-isopropoxyethanol
C0303807	Isooctyl alcohol
C0303808	Hydrogenated terphenyls
C0303809	Wood tar
C0303813	Phenyl ether-biphenyl vapor mixture
C0303814	Diglycidyl ether
C0303815	Dipropylene glycol methyl ether
C0303817	Polyethylene glycol alkyl ether
C0303818	Ethyl di-(p-chlorophenyl) glycolate
C0303819	N-valeraldehyde
C0303820	5-methyl-3-heptanone
C0303821	Dipropyl ketone
C0303822	Carboxylic salt
C0303825	2-ethoxyacetate
C0303826	Propyl nitrate
C0303827	sec-Butyl acetate
C0303829	Secondary amyl acetate
C0303834	2-hydroxy-2,2-bis-(4-chlorophenyl) ethyl acetate
C0303835	N-butyl lactate
C0303836	Butylamine
C0303837	Monomethyl aniline
C0303839	Anisidine
C0303840	Hydroxylamine hydrochloride
C0303841	Triphenylamine
C0303844	Dinitrobenzene isomer
C0303846	Alkyl dimethyl 3,4-dichlorobenzene ammonium chloride
C0303847	N-m-tolyl phthalamic acid
C0303848	Organic sulfur compound
C0303853	Crag herbicide
C0303854	Sodium fluoroacetamide
